speaker	start	end	label	contexto	n_palabras	palabras_por_seg	fonemas_por_seg	F0_mean	F0_median	F0_sd	F0_range_st	F0_delta_st	F0_final_delta_st	F0_final_pattern	Int_mean	Int_median	Int_sd	F0_ini_q1	F0_ini_q2	F0_ini_q3	F0_ini_q4	F0_fin_q1	F0_fin_q2	F0_fin_q3	F0_fin_q4	Int_ini_q1	Int_ini_q2	Int_ini_q3	Int_ini_q4	Int_fin_q1	Int_fin_q2	Int_fin_q3	Int_fin_q4	anot1	anot2	anot3	anot4	anot5	anot6	anot7	anot8	anot9	anot10	anot11	anot12	anot13	anot14	anot15	anot16	anot17	anot18	anot19	anot20	anot21	anot22	anot23	anot24	anot25	anot26	anot27	anot28	anot29	anot30	anot31	anot32	anot33	observaciones
i - words	0.3	0.500001	vaya	i - words: vaya | i - words: y en verano por ejemplo | i - words: hacía tanto calor o | e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido	1	4.999975000125	19.9999000005	86.9515051269531	87.0490188598633	3.8488889587872	1.50208043090678	-1.70861450261832	0.421568127121226	PPP	34.0816619380217	34.2513489678484	0.914594097027054					82.1964302062988	83.1683731079102	82.043041229248	84.222541809082	31.2201016799624	32.7686028970473	33.3664167653458	33.3187824065076	34.6283994018166	34.6116536072648	34.7795124916495	34.7163266006054	Respuesta mínima (sí, ya, claro...)	Afirmativa	Información nueva	Simple	Sin reformulación	Narrativa (contar hechos)	No hay cita	Futuro / proyección	Directiva (petición, orden, consejo)	Neutra	Atenuación fuerte	Orientada al yo (autoprotección)	Léxico (un poco, algo, más bien...)	Acto de habla (te lo juro, de verdad...)	No relevante / neutra	Neutra	Justificación / excusa	Respuesta directa al otro	Toma de turno limpia	Respuesta a pregunta	Solapamientos conflictivos / competitivos	Apertura (bueno, oye, mira...)	No fática	Espacial (aquí, ahí, allí...)	Argot / jerga específica	Suspiro	Tristeza	Risa solapada	Ninguno	Ninguno	Sonidos que inician turno (chasquido, inspiración)	Irrelevante	Tensión / ansiedad	
i - words	0.935998	2.537999	y en verano por ejemplo	i - words: vaya | i - words: y en verano por ejemplo | i - words: hacía tanto calor o | e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años	5	3.12109667846649	11.8601673781727	101.857325321486	94.9972686767578	20.3665310296767	6.33573167419115	11.8735164428221	8.89406417923654	PAA	35.4680345731451	35.8228211560549	1.01519937180132	95.8521540323893	94.7479596138	94.0267822265625	91.5419148763021	104.414974975586	105.241050720215	145.502984619141	174.533097839355	35.1773758260541	35.4330559949642	35.7575062401336	35.9140007865262	35.0722797527925	35.889342058122	35.6458813433298	35.7497251718608	Fragmento	Exclamativa	Recordatorio / reactivación	Simple	Sin reformulación	Narrativa (contar hechos)	Estilo libre / eco del otro	Futuro / proyección	Directiva (petición, orden, consejo)	Neutra	Sin atenuación	Orientada al yo (autoprotección)	Marcadores atenuantes (bueno, hombre, oye...)	Sin intensificación	No relevante / neutra	Crítica directa	Autoelogio / autopromoción	Inicio de tema / secuencia	Toma de turno limpia	Desplazamiento temático	Interacción pausada (pocos solapamientos)	Apertura (bueno, oye, mira...)	No fática	Temporal (ahora, luego, antes...)	Ninguno destacado	Ninguno	Miedo	No hay	Pensativo (mmm...)	Inspiración audible	Otros	Irrelevante	Neutra	
i - words	3.475999	4.696	hacía tanto calor o	i - words: vaya | i - words: y en verano por ejemplo | i - words: hacía tanto calor o | e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años | i - words: risas	4	3.27868583714276	13.114743348571	104.14822769165	98.327880859375	16.6627179359928	6.87320873825468	-0.441959735301699	-1.17521755129863	PPP	35.4688079043937	36.0711221066669	1.63147503427286	96.0076446533203	99.2114124298096	95.2697550455729	94.2198206583659	99.3492136001587	98.5598504202706	95.6515274047852	93.5626592636108	32.1261429920324	33.2101999676589	32.9233552229781	32.2355227617891	36.3075385405558	34.9523678538977	33.2328312159747	36.1082065587319	Enunciado completo	Optativa / desiderativa	Información nueva	Subordinación ligera	Resumir / recapitular lo anterior	Narrativa (contar hechos)	No hay cita	Presente / general	Fática (mantener contacto)	Gestión de conflicto / tensión	Atenuación fuerte	Orientada al tú (no dañar al otro)	Reformulación / rodeos	Sin intensificación	No relevante / neutra	Broma / ironía sobre el otro	Justificación / excusa	Cierre de secuencia	Interrupción	Contraste / oposición	Alta densidad de solapamientos cooperativos	Apertura (bueno, oye, mira...)	No fática	Personal (yo, tú, nosotros...)	Ninguno destacado	Suspiro	Neutra / sin emoción marcada	Sonidos incidentales del hablante	Esfuerzo / molestia	Ninguno	No hay	Otros	Neutra	
e - words	4.397	4.467	no	i - words: vaya | i - words: y en verano por ejemplo | i - words: hacía tanto calor o | e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años | i - words: risas | i - words: mm mm	1	14.2857142857144	28.5714285714288	106.769969646747	106.765625	3.61304284015307	1.35181799986769	-1.67168611400808			36.7543994278835	36.7546666275597	0.229223078212603																	Continuador (ajá, mhm, sí sí...)	Negativa	Información dada	Subordinación ligera	Sin reformulación	Narrativa (contar hechos)	No hay cita	Presente / general	Asertiva / informativa	Neutra	Sin atenuación	Orientada al decir (presentación del enunciado)	Léxico (un poco, algo, más bien...)	Acto de habla (te lo juro, de verdad...)	No relevante / neutra	Broma / ironía sobre el otro	Neutra	Inicio de tema / secuencia	Interrupción	Continuación lineal	Interacción pausada (pocos solapamientos)	Apertura (bueno, oye, mira...)	No fática	Temporal (ahora, luego, antes...)	Frases hechas / proverbios	Ninguno	Ira / enfado	No hay	Esfuerzo / molestia	Ninguno	No hay	Irrelevante	Desdén (risita nasal, clic)	
e - words	5.526997	6.619	habían días de poniente	i - words: vaya | i - words: y en verano por ejemplo | i - words: hacía tanto calor o | e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años | i - words: risas | i - words: mm mm | i - words: y si seguimos así cómo	4	3.66299359983443	18.3149679991722	152.80858668736	151.842712402344	7.63773517578354	2.10367820231997	-3.48405089032814	-1.88695852473423	PDD	35.9627380582894	36.2481165961227	1.12553814204399	155.579818725586	161.238958740234	162.18391418457	154.682723999023	163.41518511091	164.42384992327	158.33434840611	146.540100097656	34.7700926504317	36.1434274805523	35.8769452668045	35.9084285851159	36.2326882760818	35.0039878256232	34.5550012868639	36.3321851893806	Enunciado completo	Interrogativa parcial (qu-)	Información dada	Yuxtaposición de enunciados	Autocorrección puntual	Explicativa / expositiva	No hay cita	Presente / general	Asertiva / informativa	Neutra	Sin atenuación	Orientada al yo (autoprotección)	Léxico (un poco, algo, más bien...)	Múltiple (varias combinadas)	No relevante / neutra	Neutra	Neutra	Cambio de tema	Toma de turno limpia	Continuación lineal	Interacción pausada (pocos solapamientos)	Apertura (bueno, oye, mira...)	No fática	Temporal (ahora, luego, antes...)	Ninguno destacado	Otros sonidos no verbales	Sorpresa	Suspiro solapado	Pensativo (mmm...)	Suspiro largo	No hay	Irrelevante	Neutra	
e - words	7.599	9.529	pero estos calores yo no los he conocido	i - words: vaya | i - words: y en verano por ejemplo | i - words: hacía tanto calor o | e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años | i - words: risas | i - words: mm mm | i - words: y si seguimos así cómo | i - words: cómo crees que van a seguir subiendo las temperaturas	8	4.14507772020725	17.0984455958549	163.077217020307	157.412246704102	30.7550243007086	4.11800578632158	-3.46574088470328	-6.81348824829098	DAD	35.0880160091081	35.7129523077052	1.63297479147155	163.926529947917	156.275408063616	143.093103027344	144.775886027018	224.102882834042	153.125908851624	165.099907370175	151.190817440257	35.383729517368	35.502346859982	36.3238538025076	36.5794231681886	36.1632987117092	36.1827045075741	35.9154957119802	34.8093228088021	Respuesta mínima (sí, ya, claro...)	Interrogativa total (sí/no)	Información dada	Simple	Autocorrección puntual	Explicativa / expositiva	No hay cita	Presente / general	Asertiva / informativa	Neutra	Sin atenuación	Orientada al yo (autoprotección)	Modalizadores (creo, me parece, supongo...)	Sin intensificación	Cortesía positiva (acercamiento, elogio)	Neutra	Autocrítica irónica / lúdica	Continuación / desarrollo	Solapamiento cooperativo	Respuesta a pregunta	Solapamientos conflictivos / competitivos	Conectivo aditivo (y, además, encima...)	No fática	Exofórica (esto/eso de aquí y ahora)	Interjecciones (¡ay!, ¡jo!, ¡uf!...)	Ninguno	Asco	No hay	Llamada / atención (chss, besito)	Ninguno	No hay	Otros	Tensión / ansiedad	
e - words	9.869	10.558999	y tengo años	i - words: y en verano por ejemplo | i - words: hacía tanto calor o | e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años | i - words: risas | i - words: mm mm | i - words: y si seguimos así cómo | i - words: cómo crees que van a seguir subiendo las temperaturas | e - words: hombre	3	4.34783238816288	14.4927746272096	143.389869366662	143.93627166748	6.690030510078	1.76780743839672	-2.91084390285527	-0.670586365665785	DPP	35.416376549327	36.1935685024583	2.00129760147991	154.42497253418	146.801254272461	146.862239837646	129.255090713501	141.73656136649	137.284456888835	138.590515136719	136.351422991071	26.846225366782	30.4099504141258	34.7070747407181	35.7582837217904	36.3358198275257	36.0376166600244	35.9867175988285	36.5936007853365	Enunciado suspendido	Dubitativa / mitigada	Información nueva	Simple	Sin reformulación	Narrativa (contar hechos)	Estilo libre / eco del otro	Presente / general	Asertiva / informativa	Neutra	Sin atenuación	Orientada al tú (no dañar al otro)	Léxico (un poco, algo, más bien...)	Evaluativa (es brutal, es horrible...)	No relevante / neutra	Neutra	Autoelogio / autopromoción	Inicio de tema / secuencia	Toma de turno limpia	Continuación lineal	Interacción pausada (pocos solapamientos)	Apertura (bueno, oye, mira...)	No fática	Temporal (ahora, luego, antes...)	Interjecciones (¡ay!, ¡jo!, ¡uf!...)	Carraspeo	Neutra / sin emoción marcada	Solapamiento conflictivo	Llamada / atención (chss, besito)	Ninguno	No hay	Risas de terceros	Cercanía / intimidad	
i - words	10.958001	11.283997	risas	i - words: hacía tanto calor o | e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años | i - words: risas | i - words: mm mm | i - words: y si seguimos así cómo | i - words: cómo crees que van a seguir subiendo las temperaturas | e - words: hombre | e - words: yo no entiendo	1	3.06752230088713	15.3376115044356								33.9849396414975	34.4195124229154	0.860496009847802									31.4511656788139	32.3273334590236	33.0084080348104	33.408057713833	34.7574742156599	34.7723908333119	34.6494715765757	34.6072845684564	Enunciado completo	Optativa / desiderativa	Información nueva	Simple	Sin reformulación	Argumentativa (defender un punto de vista)	Estilo libre / eco del otro	Pasado (relato)	Metapragmática (hablar del hablar)	Neutra	Atenuación media	Orientada al yo (autoprotección)	Marcadores atenuantes (bueno, hombre, oye...)	Múltiple (varias combinadas)	Ataque a la imagen del otro	Apoyo / refuerzo del otro	Autoelogio / autopromoción	Cierre de secuencia	Toma de turno limpia	Continuación lineal	Interacción pausada (pocos solapamientos)	Cierre (en fin, nada...)	No fática	Exofórica (esto/eso de aquí y ahora)	Ninguno destacado	Ninguno	Miedo	No hay	Pensativo (mmm...)	Inspiración audible	No hay	Golpes / choques / movimiento	Neutra	
i - words	12.747998	13.067998	mm mm	e - words: no | e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años | i - words: risas | i - words: mm mm | i - words: y si seguimos así cómo | i - words: cómo crees que van a seguir subiendo las temperaturas | e - words: hombre | e - words: yo no entiendo | e - words: pero según oigo	2	6.25000000000003	12.5000000000001	102.564660016228	105.77172088623	5.90831230476719	2.1925287842011	0.594576835844568			33.1892578572621	33.8598388218682	2.15346712699334	105.866180419922	106.111911773682	108.487083435059	107.439437866211					26.1488096359357	29.9876277019403	33.846859537428	34.3531423176461	32.4659340208525	31.3406717335139	30.88285781742	31.2137861322938	Continuador (ajá, mhm, sí sí...)	Afirmativa	Información nueva	Simple	Sin reformulación	Descriptiva	No hay cita	Presente / general	Asertiva / informativa	Neutra	Sin atenuación	Orientada al yo (autoprotección)	Modalizadores (creo, me parece, supongo...)	Acto de habla (te lo juro, de verdad...)	No relevante / neutra	Neutra	Neutra	Reacción evaluativa	Solapamiento cooperativo	Continuación lineal	Alta densidad de solapamientos cooperativos	Apertura (bueno, oye, mira...)	Confirmación / feedback mínimo	Espacial (aquí, ahí, allí...)	Ninguno destacado	Carraspeo	Desprecio	No hay	Ninguno	Ninguno	¿Eh? (petición de aclaración)	Golpes / choques / movimiento	Lúdica / irónica	
i - words	14.058999	15.748997	y si seguimos así cómo	e - words: habían días de poniente | e - words: pero estos calores yo no los he conocido | e - words: y tengo años | i - words: risas | i - words: mm mm | i - words: y si seguimos así cómo | i - words: cómo crees que van a seguir subiendo las temperaturas | e - words: hombre | e - words: yo no entiendo | e - words: pero según oigo | e - words: en las noticias	5	2.95858338293892	10.6509001785801	98.7501524202116	99.3122024536133	6.96618811343159	3.34571208182241	-3.40905352786985	-2.68780657519069	DDD	35.9665240761215	36.2110673756682	0.921010048082651	109.837055499737	106.595020839146	106.138869694301	100.038392873911	100.846303603228	96.5834722518921	92.0173425674438	86.5112798354205	33.9380239950701	36.0145916003144	36.784095676834	36.5917229926864	36.822421863641	36.4674468974959	36.346584314627	36.2156620575663	Enunciado completo	Exclamativa	Reformulación de lo anterior	Simple	Sin reformulación	Narrativa (contar hechos)	Estilo libre / eco del otro	Presente / general	Asertiva / informativa	Neutra	Atenuación fuerte	Orientada al yo (autoprotección)	Léxico (un poco, algo, más bien...)	Sin intensificación	No relevante / neutra	Apoyo / refuerzo del otro	Neutra	Cambio de tema	Toma de turno limpia	Continuación lineal	Interacción pausada (pocos solapamientos)	Apertura (bueno, oye, mira...)	No fática	Temporal (ahora, luego, antes...)	Muletillas (en plan, ¿sabes?, ¿vale?, tío/tía...)	Risa	Tristeza	No hay	Pensativo (mmm...)	Suspiro largo	Sonidos que inician turno (chasquido, inspiración)	Irrelevante	Neutra	
